birth_cohort,education,labor_exp_age45,first_migration_age,total_trips,legal_status,latest_us_occupation,accumulated_us_experience,mean_proportion_low_income,label
1917,3.0,8.083333333333334,46.0,1,WOD,Agrarian,132.0,0.22611220870135446,undetermined
1911,3.0,3.0,59.0,2,WOD,Other,185.0,0.22611220870135446,undetermined
1971,13.0,8.0,19.0,2,WD,Manual,103.0,0.22611220870135446,undetermined
1960,6.0,34.666666666666664,17.0,2,WD,Manual,272.0,0.22611220870135446,undetermined
1950,9.0,21.0,25.0,1,WOD,Other,24.0,0.5624172290213145,downward
1965,8.0,18.0,21.0,1,WOD,Other,156.0,0.5624172290213145,undetermined
1973,9.0,7.0,19.0,1,WOD,Other,84.0,0.5624172290213145,undetermined
1963,12.0,24.0,15.0,1,WD,Manual,228.0,0.5624172290213145,undetermined
1945,9.0,31.0,20.0,2,WOD,Manual,252.0,0.5624172290213145,upward
1958,17.0,23.0,31.0,1,WOD,Other,120.0,0.5624172290213145,undetermined
1924,0.0,33.166666666666664,28.0,1,WOD,Agrarian,2.0,0.5624172290213145,upward
1970,3.0,21.0,23.0,1,WD,Manual,12.0,0.5624172290213145,undetermined
1932,0.0,39.0,17.0,2,WD,Manual,72.0,0.5624172290213145,no_movement
1959,6.0,25.25,21.0,2,WOD,Manual,15.0,0.5624172290213145,undetermined
1943,6.0,32.0,32.0,1,WD,Other,48.0,0.5624172290213145,upward
1946,12.0,42.5,17.0,2,WD,Other,253.0,0.5624172290213145,downward
1919,6.0,29.5,23.0,1,WD,Other,6.0,0.5624172290213145,no_movement
1969,8.0,14.0,17.0,2,WOD,Manual,144.0,0.5624172290213145,undetermined
1917,2.0,25.0,28.0,1,WOD,Agrarian,12.0,0.5624172290213145,no_movement
1924,4.0,29.75,30.0,2,WD,Agrarian,9.0,0.5624172290213145,no_movement
1950,12.0,30.0,12.0,1,WOD,Manual,96.0,0.5624172290213145,upward
1976,9.0,8.5,2.0,1,WD,Manual,240.0,0.5624172290213145,undetermined
1935,12.0,36.0,28.0,1,WD,Manual,144.0,0.5624172290213145,upward
1956,6.0,32.25,20.0,2,WD,Agrarian,27.0,0.5624172290213145,undetermined
1953,0.0,30.166666666666668,19.0,2,WOD,Manual,314.0,0.5624172290213145,no_movement
1914,10.0,29.0,7.0,1,WOD,Manual,276.0,0.5624172290213145,upward
1940,6.0,37.666666666666664,22.0,1,WOD,Manual,8.0,0.5624172290213145,no_movement
1956,9.0,25.0,18.0,1,WOD,Manual,300.0,0.5624172290213145,undetermined
1918,6.0,9.25,26.0,10,WOD,Agrarian,,0.5624172290213145,no_movement
1954,4.0,30.5,33.0,1,WOD,Agrarian,138.0,0.5624172290213145,undetermined
1967,9.0,16.666666666666668,27.0,1,WOD,Other,60.0,0.5624172290213145,undetermined
1947,1.0,30.5,28.0,1,WD,Other,6.0,0.5624172290213145,downward
1977,6.0,5.166666666666667,20.0,2,WOD,Manual,14.0,0.5624172290213145,undetermined
1969,9.0,13.0,17.0,1,WOD,Manual,144.0,0.5624172290213145,undetermined
1937,0.0,30.0,38.0,4,WOD,Agrarian,24.0,0.5624172290213145,undetermined
1967,9.0,15.0,24.0,1,WOD,Other,72.0,0.5624172290213145,undetermined
1968,17.0,11.083333333333334,17.0,2,WOD,Other,2.0,0.5624172290213145,undetermined
1957,12.0,26.0,36.0,1,WOD,Manual,36.0,0.5624172290213145,undetermined
1931,2.0,27.0,28.0,1,WD,Agrarian,444.0,0.5624172290213145,upward
1962,6.0,25.0,17.0,2,WD,Manual,72.0,0.5624172290213145,undetermined
1966,6.0,15.666666666666666,29.0,1,WOD,Manual,44.0,0.5624172290213145,undetermined
1974,9.0,7.0,19.0,1,WD,Other,24.0,0.5624172290213145,undetermined
1962,6.0,22.0,19.0,1,WD,Manual,216.0,0.5624172290213145,undetermined
1946,3.0,30.5,32.0,1,WD,Agrarian,6.0,0.5624172290213145,no_movement
1949,6.0,30.0,16.0,2,WOD,Agrarian,36.0,0.5624172290213145,no_movement
1944,6.0,29.0,24.0,1,WOD,Manual,372.0,0.5624172290213145,no_movement
1966,8.0,18.0,19.0,2,WOD,Other,168.0,0.5624172290213145,undetermined
1948,6.0,33.0,22.0,1,WOD,Manual,348.0,0.5624172290213145,upward
1950,0.0,30.0,21.0,1,WOD,Manual,336.0,0.5624172290213145,no_movement
1944,3.0,29.0,24.0,1,WD,Agrarian,12.0,0.5624172290213145,no_movement
1965,6.0,19.75,14.0,1,WD,Agrarian,9.0,0.5624172290213145,undetermined
1963,9.0,20.5,17.0,2,WOD,Manual,222.0,0.5624172290213145,undetermined
1933,6.0,33.0,26.0,2,WOD,Other,160.0,0.5624172290213145,downward
1944,12.0,30.0,16.0,2,WOD,Other,372.0,0.5624172290213145,downward
1955,8.0,27.0,27.0,2,WOD,Manual,168.0,0.5624172290213145,undetermined
1978,12.0,6.0,5.0,2,WOD,Manual,84.0,0.5624172290213145,undetermined
1958,9.0,25.0,33.0,1,WOD,Other,96.0,0.5624172290213145,undetermined
1958,12.0,23.0,18.0,1,WOD,Other,276.0,0.5624172290213145,undetermined
1974,6.0,6.0,23.0,1,WOD,Manual,24.0,0.5624172290213145,undetermined
1948,6.0,26.0,20.0,2,WOD,Manual,204.0,0.5624172290213145,downward
1966,12.0,14.0,19.0,1,WOD,Manual,168.0,0.5624172290213145,undetermined
1967,12.0,16.0,16.0,2,WOD,Other,144.0,0.5624172290213145,undetermined
1956,5.0,29.0,16.0,1,WOD,Manual,36.0,0.5624172290213145,undetermined
1964,12.0,25.0,19.0,1,WOD,Manual,84.0,0.5624172290213145,undetermined
1935,6.0,3.4166666666666665,42.0,2,WOD,Other,11.0,0.5624172290213145,undetermined
1947,1.0,39.0,20.0,1,WD,Manual,120.0,0.5624172290213145,upward
1929,6.0,28.0,18.0,1,WOD,Agrarian,48.0,0.5624172290213145,no_movement
1946,6.0,30.0,37.0,1,WD,Agrarian,24.0,0.5624172290213145,upward
1946,3.0,31.083333333333332,42.0,1,WOD,Manual,1.0,0.5624172290213145,upward
1912,0.0,36.0,32.0,1,WOD,Other,24.0,0.5624172290213145,upward
1968,3.0,17.166666666666668,16.0,1,WD,Agrarian,2.0,0.5624172290213145,undetermined
1937,4.0,31.25,18.0,1,WOD,Agrarian,3.0,0.5624172290213145,no_movement
1923,5.0,27.0,47.0,1,WD,Manual,300.0,0.5624172290213145,no_movement
1942,6.0,35.0,24.0,1,WOD,Manual,396.0,0.5624172290213145,no_movement
1920,2.0,31.0,25.0,2,WD,Agrarian,108.0,0.5624172290213145,upward
1969,13.0,12.0,19.0,1,WOD,Other,132.0,0.5624172290213145,undetermined
1967,12.0,14.666666666666666,20.0,1,WD,Manual,140.0,0.5624172290213145,undetermined
1961,17.0,26.166666666666668,27.0,1,WOD,Manual,50.0,0.5624172290213145,undetermined
